0,41.6,0,41.6,0,41.6
0.0223804,38.8,0.0230074,38.8,240,41.6
0.0489309,37.4,0.0501671,37.2,,
240,37.4,0.0774036,35.6,,
,,0.104388,34.2,,
,,0.131631,33.1,,
,,0.157801,32.1,,
,,0.183959,31.3,,
,,0.209878,30.3,,
,,0.235818,29.5,,
,,0.262618,28.8,,
,,0.288483,28.2,,
,,0.313906,27.7,,
,,0.339158,27.3,,
,,0.363957,25.7,,
,,0.390217,25.3,,
,,0.415767,24.3,,
,,0.441258,24.0,,
,,0.466276,23.7,,
,,0.490787,23.4,,
,,0.514337,23.2,,
,,0.540692,23.0,,
,,0.567108,22.9,,
,,0.590932,22.8,,
,,1.04044,21.9,,
,,1.42662,21.7,,
,,1.44312,21.3,,
,,1.475,19.9,,
,,240,19.9,,
