0.99,100,3187
0.99,90,3121
0.99,80,3158
0.99,70,3121
0.99,60,3288
0.99,50,3140
0.99,40,3131
0.99,30,3140
0.99,20,3253
0.99,10,3248
0.89,100,3301
0.89,90,3288
0.89,80,3253
0.89,70,3265
0.89,60,3267
0.89,50,3263
0.89,40,3294
0.89,30,3283
0.89,20,3265
0.89,10,3237
0.79,100,3238
0.79,90,3210
0.79,80,3343
0.79,70,3265
0.79,60,3237
0.79,50,3235
0.79,40,3237
0.79,30,3169
0.79,20,3235
0.79,10,3236
0.69,100,3235
0.69,90,3235
0.69,80,3158
0.69,70,3237
0.69,60,3267
0.69,50,3237
0.69,40,3140
0.69,30,3237
0.69,20,3316
0.69,10,3174
0.59,100,3235
0.59,90,3264
0.59,80,3220
0.59,70,3237
0.59,60,3253
0.59,50,3121
0.59,40,3235
0.59,30,3283
0.59,20,3237
0.59,10,3289
0.49,100,3518
0.49,90,3525
0.49,80,3384
0.49,70,3334
0.49,60,3355
0.49,50,3465
0.49,40,3408
0.49,30,3394
0.49,20,3467
0.49,10,3453
0.39,100,3923
0.39,90,3388
0.39,80,3323
0.39,70,3309
0.39,60,3476
0.39,50,3427
0.39,40,3473
0.39,30,3510
0.39,20,3298
0.39,10,3428
0.29,100,3352
0.29,90,3309
0.29,80,3382
0.29,70,3399
0.29,60,3513
0.29,50,3452
0.29,40,3486
0.29,30,3408
0.29,20,3352
0.29,10,3508
0.19,100,3422
0.19,90,3499
0.19,80,3440
0.19,70,3465
0.19,60,3422
0.19,50,3530
0.19,40,3401
0.19,30,3432
0.19,20,3434
0.19,10,3467
