0,3785,[(0,3901),(0.0219591,3824),(0.0483617,3785),]
1,3785,[(0,3901),(0.0223769,3824),(0.0489283,3785),]
2,3785,[(0,3901),(0.0223284,3824),(0.0486369,3785),]
3,3785,[(0,3901),(0.0225931,3824),(0.0490992,3785),]
4,3785,[(0,3901),(0.0224233,3824),(0.0487938,3785),]
5,3785,[(0,3901),(0.0222801,3824),(0.0485738,3785),]
6,3785,[(0,3901),(0.0225092,3824),(0.0487362,3785),]
7,3785,[(0,3901),(0.0224581,3824),(0.0503751,3785),]
8,3785,[(0,3901),(0.0224695,3824),(0.0492289,3785),]
9,3785,[(0,3901),(0.0223804,3824),(0.0489309,3785),]
